黑龙江地方,#genre#
黑龙江都市HD,http://39.134.66.34:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江都市HD,http://39.134.65.196/PLTV/88888888/224/3221225969/1.m3u8
黑龙江少儿HD,http://39.134.65.247/PLTV/88888888/224/3221225979/1.m3u8
黑龙江农科BQ,http://39.134.67.110/PLTV/88888888/224/3221225998/1.m3u8
黑龙江文体BQ,http://39.134.65.196/PLTV/88888888/224/3221226012/1.m3u8
黑龙江新法BQ,http://39.134.65.207/PLTV/88888888/224/3221225992/1.m3u8
黑龙江影视BQ,http://39.134.65.207/PLTV/88888888/224/3221225971/1.m3u8
黑龙江都市BQ,http://39.134.65.194/PLTV/88888888/224/3221225990/1.m3u8
黑龙江少儿BQ,http://39.134.65.207/PLTV/88888888/224/3221226002/1.m3u8
黑龙江影视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226298/index.m3u8?rrsip=ottrrs.hl.chinamobile.com&zoneoffset=0&servicetype=1
黑龙江文体高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226239/index.m3u8?rrsip=ottrrs.hl.chinamobile.com&zoneoffset=0&servicetype=1
黑龙江都市高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226301/index.m3u8?rrsip=ottrrs.hl.chinamobile.com&zoneoffset=0&servicetype=1
黑龙江新法高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226330/index.m3u8?rrsip=ottrrs.hl.chinamobile.com&zoneoffset=0&servicetype=1
黑龙江农科高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226242/index.m3u8?rrsip=ottrrs.hl.chinamobile.com&zoneoffset=0&servicetype=1
黑龙江少儿高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226304/index.m3u8?rrsip=ottrrs.hl.chinamobile.com&zoneoffset=0&servicetype=1
哈尔滨新闻综合,https://stream.hrbtv.net/xwzh/playlist.m3u8
哈尔滨生活,http://39.134.65.207/PLTV/88888888/224/3221226095/1.m3u8
哈尔滨生活,https://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨影视,https://stream.hrbtv.net/yspd/sd/live.m3u8
青冈综合,https://masterpull.hljtv.com/live/bJGIloJe.m3u8
绥化新闻综合,https://masterpull.hljtv.com/live/v4o2g1hs.m3u8
齐齐哈尔经法,http://39.134.65.209/PLTV/8888888/224/3221226058/1.m3u8
齐齐哈尔综合,http://39.134.65.207/PLTV/8888888/224/3221226037/1.m3u8
鹤岗新闻综合,http://39.134.65.150/PLTV/8888888/224/3221226073/1.m3u8
兰西综合,https://masterpull.hljtv.com/live/SYG06DEw.m3u8
望奎综合,https://masterpull.hljtv.com/live/d3loVdqX.m3u8
明水综合,https://masterpull.hljtv.com/live/bOJ0OStw.m3u8
大庆教育,http://39.134.65.150/PLTV/8888888/224/3221226102/1.m3u8
大庆综合,http://ottrrs.hl.chinamobile.com/PLTV/8888888/224/3221226484/index.m3u8
双鸭综合,http://39.134.65.166/PLTV/8888888/224/3221226108/1.m3u8
肇源综合,https://masterpull.hljtv.com/live/XkQg7QSI.m3u8
肇州综合,https://masterpull.hljtv.com/live/imOHYJ77.m3u8
肇东综合,https://masterpull.hljtv.com/live/G84ZsUTP.m3u8
安达综合,https://masterpull.hljtv.com/live/FsGxlDZQ.m3u8
海伦综合,https://masterpull.hljtv.com/live/VFNlgeFO.m3u8
巴彦综合,https://masterpull.hljtv.com/live/vAtZi96R.m3u8
大兴安岭新闻综合,https://masterpull.hljtv.com/live/H2kVyS15.m3u8
黑河新闻综合,https://masterpull.hljtv.com/live/iyoENgSP.m3u8
佳木斯新闻综合,http://39.134.65.150/PLTV/88888888/224/3221225993/1.m3u8
佳木斯新闻综合,https://masterpull.hljtv.com/live/l9wQtsVs.m3u8
绥芬河综合,https://masterpull.hljtv.com/live/pXxFNIbi.m3u8
鸡西综合,http://39.134.65.239/PLTV/88888888/224/3221226035/1.m3u8
七台河新闻综合,http://live.qthnews.org.cn:1935/live/live1/800k/tzwj_video.m3u8
呼兰综合,https://masterpull.hljtv.com/live/zja8TAIO.m3u8
齐齐哈尔新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8
克山综合,https://masterpull.hljtv.com/live/58lOw0L5.m3u8
克东综合,https://masterpull.hljtv.com/live/PO1DiGiN.m3u8
拜泉综合,https://masterpull.hljtv.com/live/zHtOXXUz.m3u8
绥棱综合,https://masterpull.hljtv.com/live/p7WSvrJJ.m3u8
庆安综合,https://masterpull.hljtv.com/live/ayksl1Ur.m3u8
绥滨综合,https://masterpull.hljtv.com/live/DQiqZPCj.m3u8


央视┃高清,#genre#
CCTV1HD,http://39.134.65.198/PLTV/88888888/224/3221225816/1.m3u8
CCTV1HD,http://39.134.66.34:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2HD,http://218.60.173.135/pull-flv-f1.douyincdn.com/media/stream-694930354981831340_hd.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-2025121713194375BBFF0C5DD812984B92-1KgIxB&unique_id=stream-694930354981831340_684_flv_hd&wsSecret=91b7baca459b0fcacb729270c5885795&wsTime=69423d6f&wsiphost=ipdbme&wsrid_tag=6944a9ec_PS-000-01B0m91_1307-7618-s1t1766107628823&wsmp_tag=1&ip_type=2&wsdcr_tag=0&request_id=6944a9ec_PS-000-01B0m91_1307-7618-s1t1766107628823&redirect_cnt=0&wshc=C&requery=0
CCTV2HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2HD,http://39.134.65.150/PLTV/88888888/224/3221225599/1.m3u8
CCTV3HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3HD,http://39.134.65.194/PLTV/88888888/224/3221225799/1.m3u8
CCTV4HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV4HD,http://39.134.67.110/PLTV/88888888/224/3221226092/1.m3u8
CCTV5HD,http://39.134.65.194/PLTV/88888888/224/3221225818/1.m3u8
CCTV5HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6HD,http://39.134.65.200/PLTV/88888888/224/3221225814/1.m3u8
CCTV7HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7HD,http://39.134.65.200/PLTV/88888888/224/3221225671/1.m3u8
CCTV8HD,http://39.134.65.200/PLTV/88888888/224/3221225795/1.m3u8
CCTV8HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9HD,http://39.134.65.196/PLTV/88888888/224/3221225676/1.m3u8
CCTV9HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8 
CCTV10HD,http://39.134.65.194/PLTV/88888888/224/3221225677/1.m3u8 
CCTV11HD,http://39.134.65.194/PLTV/88888888/224/3221225517/1.m3u8
CCTV12HD,http://39.134.65.200/PLTV/88888888/224/3221225669/1.m3u8
CCTV13HD,http://39.134.67.110/PLTV/88888888/224/3221226077/1.m3u8
CCTV14HD,http://39.134.65.196/PLTV/88888888/224/3221225674/1.m3u8
CCTV15HD,http://39.134.65.200/PLTV/88888888/224/3221225513/1.m3u8
CCTV15HD,http://39.134.66.34:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16HD,http://39.134.65.196/PLTV/88888888/224/3221225893/1.m3u8
CCTV16HD,http://39.134.66.34:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17HD,http://39.134.65.207/PLTV/88888888/224/3221225708/1.m3u8
CCTV5+HD,http://39.134.65.194/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8


卫视┃高清,#genre#
黑龙江卫视HD,http://39.134.65.196/PLTV/88888888/224/3221225985/1.m3u8
吉林卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225981/1.m3u8
辽宁卫视HD,http://39.134.67.110/PLTV/88888888/224/3221226089/1.m3u8
天津卫视HD,http://39.134.65.200/PLTV/88888888/224/3221225665/1.m3u8
北京卫视HD,http://39.134.65.194/PLTV/88888888/224/3221225678/1.m3u8
北京纪实,http://39.134.65.166/PLTV/88888888/224/3221225670/1.m3u8
贵州卫视HD,http://39.134.65.243/PLTV/88888888/224/3221225974/1.m3u8
安徽卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225925/1.m3u8
河南卫视HD,http://39.134.65.249/PLTV/88888888/224/3221225988/1.m3u8
河北卫视HD,http://39.134.67.110/PLTV/88888888/224/3221225961/1.m3u8
广东卫视HD,http://39.134.65.209/PLTV/88888888/224/3221225966/1.m3u8
广西卫视HD,http://39.134.67.110/PLTV/88888888/224/3221226091/1.m3u8
湖南卫视HD,http://39.134.65.194/PLTV/88888888/224/3221225506/1.m3u8
湖北卫视HD,http://39.134.65.196/PLTV/88888888/224/3221225569/1.m3u8
四川卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225970/1.m3u8
重庆卫视HD,http://39.134.65.200/PLTV/88888888/224/3221225963/1.m3u8
江西卫视HD,http://39.134.65.243/PLTV/88888888/224/3221225935/1.m3u8
东南卫视HD,http://39.134.67.110/PLTV/88888888/224/3221225950/1.m3u8
东方卫视HD,http://39.134.65.198/PLTV/88888888/224/3221225672/1.m3u8
山东卫视HD,http://39.134.65.247/PLTV/88888888/224/3221225952/1.m3u8
深圳卫视HD,http://39.134.65.198/PLTV/88888888/224/3221225668/1.m3u8
浙江卫视HD,http://39.134.65.194/PLTV/88888888/224/3221225514/1.m3u8
江苏卫视HD,http://39.134.65.194/PLTV/88888888/224/3221225503/1.m3u8
海南卫视HD,http://39.134.67.110/PLTV/88888888/224/3221225978/1.m3u8
睛彩广场舞,http://39.134.65.150/PLTV/88888888/224/3221226143/1.m3u8
睛彩竞技,http://39.134.65.150/PLTV/88888888/224/3221225897/1.m3u8
睛彩篮球,http://39.134.65.150/PLTV/88888888/224/3221226027/1.m3u8


联通┃央视,#genre#
CCTV1HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2HD,http://218.24.86.123/pull-flv-f1.douyincdn.com/media/stream-694930354981831340_hd.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-2025121713194375BBFF0C5DD812984B92-1KgIxB&unique_id=stream-694930354981831340_684_flv_hd&wsSecret=91b7baca459b0fcacb729270c5885795&wsTime=69423d6f&wsiphost=ipdbme&wsrid_tag=6944dff6_PS-000-017RH42_72509-53667-s1t1766121462955&wsmp_tag=1&ip_type=2&wsdcr_tag=0&request_id=6944dff6_PS-000-017RH42_72509-53667-s1t1766121462955&redirect_cnt=0&wshc=C&requery=0
CCTV2HD,http://39.134.65.207/PLTV/88888888/224/3221225599/1.m3u8
CCTV3HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4HD,http://39.134.65.207/PLTV/88888888/224/3221226092/1.m3u8
CCTV5HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11HD,http://39.134.65.194/PLTV/88888888/224/3221226123/1.m3u8
CCTV11HD,http://39.134.65.166/PLTV/88888888/224/3221226123/1.m3u8
CCTV12HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV14HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15HD,http://39.134.65.247/PLTV/88888888/224/3221226127/1.m3u8
CCTV15HD,http://39.134.65.166/PLTV/88888888/224/3221226127/1.m3u8
CCTV16HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


联通┃卫视,#genre#
黑龙江文体HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江农科HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江影视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江都市HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江少儿HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
哈尔滨新闻综合,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226434/index.m3u8
黑龙江卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
吉林卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225981/1.m3u8
辽宁卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
深圳卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
安徽卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225925/1.m3u8
四川卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
浙江卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
东方卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225672/1.m3u8
东南卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
江苏卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
江西卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
重庆卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
北京卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
山东卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
天津卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
贵州卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
河南卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河北卫视HD,http://39.134.65.194/PLTV/88888888/224/3221225961/1.m3u8
湖南卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖南卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖北卫视HD,http://39.134.65.207/PLTV/88888888/224/3221225975/1.m3u8
广东卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视HD,http://39.134.65.215/PLTV/88888888/224/3221226091/1.m3u8
海南卫视,http://39.134.67.75:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
内蒙古卫视HD,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8


移动┃央视,#genre#
CCTV1高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226016/index.m3u8?rrsip=ottrrs
CCTV2高清,http://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv2_mbd.m3u8?auth_key=1766871000-1-49cde5349095a19dceeb9f8533b28879bc7b446d0c791ecaf8c76981a14c7cb5-8a5c9a7987b6351fd2dab90fa1dbc89a&yid=49cde53490]
CCTV2高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225588/index.m3u8?rrsip=ottrrs
CCTV3高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226021/index.m3u8?rrsip=ottrrs
CCTV4高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226428/index.m3u8
CCTV4高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226007/index.m3u8?rrsip=ottrrs
CCTV5高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226019/index.m3u8?rrsip=ottrrs
CCTV6高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226010/index.m3u8?rrsip=ottrrs
CCTV7高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225733/index.m3u8?rrsip=ottrrs 
CCTV8高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226008/index.m3u8?rrsip=ottrrs 
CCTV9高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225734/index.m3u8?rrsip=ottrrs 
CCTV10高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226473/index.m3u8?rrsip=ottrrs 
CCTV10高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225730/index.m3u8
CCTV11高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226565/index.m3u8?rrsip=ottrrs 
CCTV12高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226568/index.m3u8?rrsip=ottrrs 
CCTV12高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225731/index.m3u8
CCTV13高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226571/index.m3u8?rrsip=ottrrs
CCTV13高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226537/index.m3u8 
CCTV14高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226591/index.m3u8?rrsip=ottrrs
CCTV14高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225732/index.m3u8
CCTV15高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226476/index.m3u8?rrsip=ottrrs
CCTV16高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226100/index.m3u8?rrsip=ottrrs
CCTV17高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225765/index.m3u8?rrsip=ottrrs
CCTV5+高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225603/index.m3u8?rrsip=ottrrs


移动┃卫视,#genre#
黑龙江卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8?rrsip=ottrrs
黑龙江卫视高清,http://39.135.133.173:80/wh7f454c46tw658731441_1360817342/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
吉林卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226397/index.m3u8?rrsip=ottrrs
辽宁卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226546/index.m3u8?rrsip=ottrrs
北京卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226450/index.m3u8?rrsip=ottrrs
北京卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225728/index.m3u8
湖南卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226307/index.m3u8?rrsip=ottrrs
湖南卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225610/index.m3u8 
湖北卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226477/index.m3u8?rrsip=ottrrs
湖北卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225627/index.m3u8
江苏卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226310/index.m3u8?rrsip=ottrrs
江苏卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225613/index.m3u8
江西卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226344/index.m3u8?rrsip=ottrrs
东南卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226341/index.m3u8?rrsip=ottrrs
东方卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226345/index.m3u8?rrsip=ottrrs
东方卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225735/index.m3u8
广东卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226248/index.m3u8?rrsip=ottrrs
广西卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226549/index.m3u8?rrsip=ttrrs
安徽卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226391/index.m3u8?rrsip=ottrrs
山东卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226456/index.m3u8?rrsip=ottrrs 
河南卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226480/index.m3u8?rrsip=ottrrs
河北卫视高清http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226406/index.m3u8?rrsip=ottrrs 
天津卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226459/index.m3u8?rrsip=ottrrs
天津卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225740/index.m3u8 
浙江卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226339/index.m3u8?rrsip=ottrrs
浙江卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225612/index.m3u8
四川卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226338/index.m3u8?rrsip=ottrrs
深圳卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226313/index.m3u8?rrsip=ottrrs
深圳卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225739/index.m3u8
贵州卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226474/index.m3u8?rrsip=ottrrs
海南卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226465/index.m3u8?rrsip=ottrrs
重庆卫视高清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226409/index.m3u8?rrsip=ottrrs 
睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226147/index.m3u8?rrsip=ottrrs 
睛彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221226124/index.m3u8?rrsip=ottrrs
上海纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225738/index.m3u8
北京纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/149/3221225729/index.m3u8


咪咕┃央视,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV2,http://j.s.bkpcp.top/jj/cctv2
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV3,http://j.s.bkpcp.top/jj/cctv3
CCTV3,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV4,http://j.s.bkpcp.top/jj/cctv4
CCTV4,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5,http://j.s.bkpcp.top/jj/cctv5
CCTV5,http://t.061899.xyz/tl/tl.php?id=cctv5
